,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Nilai Semester 3 - Mesin Pembelajaran,0.4600900885787858,0.4119573382616745,0.09739857157806563,0.21499174029490314,0.21785005177600206,-0.4944103543151094,-0.33838461570717476,-0.03408474476960351,-0.004822188171583645,-0.1034379296110374,0.1904819682255799
Nilai Semester 3 - Text Mining,0.448495160855854,0.19529532714407888,-0.38702930560751075,0.03242309292735098,0.14826959486664038,-0.3107481056077987,-0.049786325670044554,0.15880509693174427,-0.24234184490475938,-0.04763466878878162,0.04838845253830366
Nilai Semester 3 - Eksplorasi dan Visualisasi Data,0.6297358798569348,-0.36657156962524434,-0.14137881249688203,-0.0053146990080988376,0.01564073517398069,-0.10413249159819578,0.13838153686870633,-0.08003434791772934,0.4652290323129345,-0.09288586171924748,-0.020441750797573814
Nilai Semester 3 - Pancasila,-0.022494647368447977,-0.10603423304904291,0.2873692268796167,-0.23558782384456167,0.5453259014042758,0.17296312071623335,-0.2391955355429257,0.07295331042753818,-0.012887672102317721,-0.2728313111321851,0.4998060722800062
Nilai Semester 3 - Praktikum Analisa Statistika Terapan,0.7582085137945848,0.20401079975729322,0.07045771967915014,0.10164290426040695,0.025761810246121782,0.26025837248285205,0.05171161334643972,0.05206946609896786,-0.011066209389262487,0.18206740576240435,0.22155922054212607
Nilai Semester 3 - Praktikum Pemrograman 3,0.5972843144751915,-0.07853818511656616,0.0003308678917243447,-0.5776293002320217,-0.30649409433532826,-0.06322230686453677,-0.1887982434751573,-0.17123624266599347,-0.04802608445639887,-0.005923121472125919,0.04573698363320858
Nilai Semester 3 - Praktikum Mesin Pembelajaran,0.31846434593498957,0.25971723326814383,-0.3474255274066359,0.2861976181434037,-0.4758058388193376,-0.08271191455443515,-0.30011591373228924,-0.006129954500179783,0.3386847967414409,0.11218095720213031,0.21851609209653053
Nilai Semester 3 - Praktikum Text Mining,0.24208492337852536,0.15557234958260036,-0.5408867091583187,0.0005218841842141816,-0.26505645940132494,0.41224955548609726,-0.312125571274755,-0.24250724768179693,-0.22325007033216512,-0.05731102162800064,-0.10072823460252374
Nilai Semester 3 - Praktikum Eksplorasi dan Visualisasi Data,0.3405884964170668,-0.4148759592063068,-0.21086169888684272,0.08382053072241069,-0.37992865748849813,-0.31097118952726727,0.0655016296250036,0.1954769631584287,-0.23518663793931183,-0.37884578189762047,0.22478943589366784
Nilai Semester 4  - Data Mining,0.7060150891902285,-0.374206641134687,-0.0607625687387647,-0.24218038138313336,0.19951592948907182,-0.037363919483623956,0.24521931987165882,-0.08511764066057464,-0.2704195286753322,-0.0005039247693477272,0.057670639927093266
Nilai Semester 4  - Teknologi Web Service,0.43356122411829856,0.06615956963529926,-0.5520072059799316,0.0163454492396471,-0.20844814707536022,0.01683320741030181,-0.2949369504189367,0.3242317171098196,-0.07568211830227486,0.11420829142751968,0.12909164648516022
